"EXPENSE ACCOUNT","Item No.","Description","Unit of Measure","PRICELIST"
"Other Supplies and Materials Expenses","978","Paper Bag, Medium with print","pc","109"
"Other Supplies and Materials Expenses","979","Paper Bag, Large with print","pc","121"
"Other Supplies and Materials Expenses","980","Token, VIP 1, ELYU Products*","pc","1500"
"Other Supplies and Materials Expenses","981","Token, VIP 2, ELYU Products*","pc","2000"
"Other Supplies and Materials Expenses","982","Token, VIP 3, ELYU Products*","pc","5000"
"","","GENERAL WELFARE GOODS","",""
"Welfare Goods Expenses","983","Baby Oil, 50ml","btl","64"
"Welfare Goods Expenses","984","Baby Powder, 50g","btl","46"
"Welfare Goods Expenses","985","Bath Soap, 60g","pc","37"
"Welfare Goods Expenses","986","Bath Towel, 27""X 54"", Adult, Cotton, High Quality","pc","37"
"Welfare Goods Expenses","987","Brief, Male, 3-in-1 pack, Free Size","pack","430"
"Welfare Goods Expenses","988","Clothes Clip, 24 pcs/pack, heavy duty","pack","72"
"Welfare Goods Expenses","989","Cotton buds, 100s/pack","pack","76"
"Welfare Goods Expenses","990","Diaper, Adult, Extra Large, 10pcs/ pack","pack","446"
"Welfare Goods Expenses","991","Diaper, Adult, Large, 10pcs/ pack","pack","407"
"Welfare Goods Expenses","992","Diaper, Adult, Small, 10pcs/ pack","pack","374"
"Welfare Goods Expenses","993","Face/Hand Towel, cotton","pc","20"
"Welfare Goods Expenses","994","Hanger, 12 pcs/pack, heavy duty","pack","107"
"Welfare Goods Expenses","995","Laundry Basin, Plastic, Big, 18""","pc","186"
"Welfare Goods Expenses","996","Nail Cutter, Big","pc","100"
"Welfare Goods Expenses","997","Panty, Free Size","pc","76"
"Welfare Goods Expenses","998","Sando Shirt, Cotton, Free Size","pc","122"
"Welfare Goods Expenses","999","Sando Shirt, Dri-fit, Free Size","pc","149"
"Welfare Goods Expenses","1000","Shampoo, Hair, 180ml","btl","194"
"Welfare Goods Expenses","1001","Short pants, Cotton, Free Size","pc","125"
"Welfare Goods Expenses","1002","Sleeping Attire (terno - pajama and t shirt), Cotton, Free Size","set","342"
"Welfare Goods Expenses","1003","Slippers, Free Size","pair","139"
"Welfare Goods Expenses","1004","T-shirt and Shorts, Jersey for sports,Free Size","pc","1034"
"Welfare Goods Expenses","1005","T-shirt, Cotton, Round neck, Free Size","pc","202"
"Welfare Goods Expenses","1006","T-shirt, Cotton, V-neck, Free Size","pc","264"
"Welfare Goods Expenses","1007","T-shirt, Cotton, with collar, Free Size","pc","369"
"Welfare Goods Expenses","1008","T-shirt, Dri-fit, Round neck, Free Size","pc","231"
"Welfare Goods Expenses","1009","T-shirt, Dri-fit, with collar, Free Size","pc","380"
"Welfare Goods Expenses","1010","Toothbrush,","pc","42"
"Welfare Goods Expenses","1011","Toothpaste, 120ml","tube","165"
"","","ICT EQUIPMENT","",""
"Information and Communication Technology Equipment","1012","Slim Mini PC (NUC) Next Unit of Computing","unit","53350"
"Information and Communication Technology Equipment","1013","Power User Desktop Workstation","unit","99950"
"Information and Communication Technology Equipment","1014","Mid Range Laptop","unit","71500"
"Information and Communication Technology Equipment","1015","Power User Laptop","unit","99950"
"Information and Communication Technology Equipment","1016","EPSON L15150 A3 WI-FI DUPLEX ALL-IN-ONE INK TANK PRINTER","unit","71500"
"Information and Communication Technology Equipment","1017","EPSON EB-FH52 V11H978052","unit","66000"
"Information and Communication Technology Equipment","1018","EPSON EpiqVision Mini EF-11 LASER PROJECTION TV V11HA23052","unit","67100"
"Office Supplies Expenses","1019","MAINTENANCE BOX FOR EPSON L6290","pc","700"
"Semi-Expendable Machinery and Equipment Expenses","1020","Cordless Impact drill with spare battery","unit","5220"
"Semi-Expendable Machinery and Equipment Expenses","1021","Electric air compressor, portable, 2HP","unit","23600"
"Semi-Expendable Machinery and Equipment Expenses","1022","Electric circular saw, 1,400 watts","unit","6440"
"Semi-Expendable Machinery and Equipment Expenses","1023","Electric planer, 650 watts","unit","5250"
"Semi-Expendable Machinery and Equipment Expenses","1024","Heatgun, 2,000 watts","unit","5399"
"Semi-Expendable Machinery and Equipment Expenses","1025","2-Way Radio Dual Band VHF-UHF SET OF 8","unit","11488"
"Semi-Expendable Machinery and Equipment Expenses","1026","21"" MONITOR, Full HD monitor w/ 1 x HDMI 1.4 Port, 1 x VGA Port","unit","15098"
"Semi-Expendable Machinery and Equipment Expenses","1027","28-inch, 4K UHD (3840 x 2160) resolution Monitor","unit","23320"
"Semi-Expendable Machinery and Equipment Expenses","1028","Active Speaker System","unit","23018"
"Semi-Expendable Machinery and Equipment Expenses","1029","AP U7 Pro Unifi Wireless 7","unit","16566"
"Semi-Expendable Machinery and Equipment Expenses","1030","Dual Wireless UHF Mic; Dynamic capsule; Rechargeable Li-Ion Battery; Fixed FrequencyAB/CD/EF","unit","9749"
"Semi-Expendable Machinery and Equipment Expenses","1031","Epson Wi-Fi All in One Ink Tank Printer","unit","17944"
"Semi-Expendable Machinery and Equipment Expenses","1032","Expansion Desktop Storage Drive","unit","23513"
"Semi-Expendable Machinery and Equipment Expenses","1033","IPS Monitor, 24 inch","unit","5706"
"Semi-Expendable Machinery and Equipment Expenses","1034","IPS Monitor, 27 inch","unit","8359"
"Semi-Expendable Machinery and Equipment Expenses","1035","Network Attached Storage (NAS) 4-Bay","unit","45320"
"Semi-Expendable Machinery and Equipment Expenses","1036","Portable Active Speaker, 480watts, Trolley Wheel with Handle, Dual Wireless Mic, Rechargeable Battery, 12V/ 220V","unit","18424"
"Semi-Expendable Machinery and Equipment Expenses","1037","Portable powerstation 240Wh","unit","27940"
"Semi-Expendable Machinery and Equipment Expenses","1038","Solidcom C1 Wireless Headset Intercom System Full Duplex 1000ft Team Communication Single-Ear Headset","set","30775"
"Semi-Expendable Machinery and Equipment Expenses","1039","Industrial Rotary hammer, 1500 watts, Heavy Duty","set","11110"
"Semi-Expendable Machinery and Equipment Expenses","1040","Ladder, A-Type, 7ft","unit","12788"
"Semi-Expendable Machinery and Equipment Expenses","1041","Ladder, Extendable (Fiber Glass), 24ft","unit","30913"
"Semi-Expendable Machinery and Equipment Expenses","1042","Cordless Vacuum","pc","5720"
"Semi-Expendable Machinery and Equipment Expenses","1043","Wet and Dry Vacuum","pc","9350"
"Semi-Expendable Machinery and Equipment Expenses","1044","Grass cutter - 4 stroke","unit","19195"
"Semi-Expendable Machinery and Equipment Expenses","1045","Standard Laptop","unit","48620"
"Semi-Expendable Machinery and Equipment Expenses","1046","EPSON L3250 INKJET PRINTER","unit","16500"
"Semi-Expendable Machinery and Equipment Expenses","1047","EPSON L6290 A4 WI-FI DUPLEX ALL-IN-ONE INK TANK PRINTER WITH ADF","unit","27500"
"Semi-Expendable Machinery and Equipment Expenses","1048","EPSON LQ-310 IMPACT PRINTER (DOT MATRIX)","unit","18700"
"Semi-Expendable Machinery and Equipment Expenses","1049","EPSON FX-2175II IMPACT PRINTER (DOT MATRIX)","unit","34200"
"Semi-Expendable Machinery and Equipment Expenses","1050","EPSON EB-X51 XGA 3LCD PROJECTOR","unit","40150"
